chr	-	10	10	0	9126174	grey
chr	-	11	11	0	11238946	grey
chr	-	12	12	0	10661439	grey
chr	-	13	13	0	16952093	grey
chr	-	14	14	0	12328026	grey
chr	-	15	15	0	11516971	grey
chr	-	16	16	0	10310320	grey
chr	-	17	17	0	11184067	grey
chr	-	18	18	0	8053132	grey
chr	-	19	19	0	14185242	grey
chr	-	1	1	0	23260604	grey
chr	-	20	20	0	13411851	grey
chr	-	21	21	0	14900632	grey
chr	-	22	22	0	11609757	grey
chr	-	2	2	0	11407286	grey
chr	-	3	3	0	13093193	grey
chr	-	4	4	0	13818948	grey
chr	-	5	5	0	12184708	grey
chr	-	6	6	0	9412079	grey
chr	-	7	7	0	14304132	grey
chr	-	8	8	0	14690302	grey
chr	-	9	9	0	13922460	grey
