lg11	3380000	4960000	17	3114266	3522709
lg11	4960000	6995000	17	4147648	3812519
lg11	8295000	16684999	17	4429500	10876709
lg11	18440000	20875000	17	16517099	16837312
lg11	22110000	22305000	17	14510691	15140828
lg11	22885000	25450000	17	12058757	12890151
lg11	24945000	27590000	17	15836444	15876177
lg11	27985000	29470000	17	21115001	20769863
lg11	29640000	29685000	17	19203069	19173852
lg11	32025000	31870000	17	18230289	18439112
lg21	0	840000	24	13226206	12879634
lg21	9785000	9785000	24	8289742	8351564
lg21	12380000	12720000	24	9091627	9529607
lg21	13310000	13310000	24	8760112	9052061
lg21	15935000	16090000	24	1633206	1747129
lg21	17945000	18030000	24	3696021	4898978
lg21	18110000	18570000	24	11437346	12042615
lg21	20875000	21385000	24	5615498	6042705
lg21	23700000	23700000	24	6659449	6808342
lg21	25235000	25400000	24	2734341	2722451
lg21	25320000	26510000	24	748338	433038
lg7	0	0	12	2066135	2335602
lg7	0	955000	12	6604523	5064604
lg7	2625000	2500000	12	3498488	3747439
lg7	3295000	5000000	12	7007679	9199720
lg7	6950000	6950000	12	11416193	11531366
lg7	7025000	8505000	12	10275171	11196969
lg7	9125000	11990000	12	12351094	13394417
lg7	12045000	13700000	12	14199736	15083294
lg7	14420000	14975000	12	15580560	15582313
lg7	17665000	18280000	12	17034136	17375663
lg7	19875000	20825000	12	19259471	19517524
lg7	21015000	25135000	12	20182815	22062486
lg2	2475000	5115000	11	803490	52222
lg2	5115000	6500000	11	3768855	3264090
lg2	6500000	7655000	11	4015180	4535690
lg2	7640000	8495000	11	5497462	4852115
lg2	8660000	9170000	11	5952094	5589322
lg2	9325000	10255000	11	6553668	7516392
lg2	10410000	13415000	11	7649899	10389007
lg2	13360000	14255000	11	11129283	11690402
lg2	15185000	16315000	11	13313905	12823442
lg2	17820000	17695000	11	14737764	15086073
lg2	22895000	24115000	11	18171344	17618487
lg2	24530000	26295000	11	15515382	16013884
lg2	26110000	26635000	11	19212039	20032118
lg17	1870000	2180000	3	1914958	3027734
lg17	2015000	2015000	3	3857343	3980176
lg17	2645000	4220000	3	3515814	3892480
lg17	9870000	10885000	3	5677932	5939609
lg17	11345000	12070000	3	6599660	6382881
lg17	13255000	13420000	3	7235717	7279615
lg17	13340000	15275000	3	8103888	8577796
lg17	16040000	19250000	3	9565696	9188246
lg17	21110000	21420000	3	11562668	11332033
lg17	23270000	23470000	3	12169939	12482603
lg17	26360000	27030000	14	55330	824100
lg17	28220000	30095000	14	1501146	3201716
lg22	1765000	4230000	9	3742314	4741766
lg22	4170000	5245000	9	5475663	5006598
lg22	5565000	6755000	9	6357192	5916128
lg22	9685000	22475000	9	6947720	14595381
lg22	23980000	23980000	9	14979582	15170830
lg22	24620000	26540000	9	17407139	17728894
lg22	27545000	28665000	9	19041008	19245221
lg22	29565000	29565000	9	15046225	15215660
lg22	29565000	29565000	9	21290086	21915120
lg1	0	770000	1A	2920760	5886278
lg1	770000	4490000	1A	7197217	7885933
lg1	6940000	6940000	1A	7912183	9870397
lg1	7280000	7280000	1A	10855900	10626520
lg1	7900000	9200000	1A	11978033	11559330
lg1	9910000	12220000	1A	13498714	16627391
lg1	15485000	15485000	1A	17884646	19302727
lg1	15485000	17580000	1A	20328475	20453981
lg1	19895000	19895000	1A	21152993	21683625
lg1	23415000	23805000	1A	23844589	25284602
lg1	27140000	27215000	1A	25303421	25965883
