dDocent_Contig_62	gi|351059502|emb|HE602553.1|	Takifugu rubripes chromosome, Chr_19	1e-14	10649594	10649671
dDocent_Contig_134	gi|351059497|emb|HE602548.1|	Takifugu rubripes chromosome, Chr_14	8e-68	1142479	1142749
dDocent_Contig_134	gi|351059505|emb|HE602556.1|	Takifugu rubripes chromosome, Chr_22	4e-33	10103402	10103568
dDocent_Contig_134	gi|351059498|emb|HE602549.1|	Takifugu rubripes chromosome, Chr_15	9e-29	6854537	6854782
dDocent_Contig_134	gi|351059485|emb|HE602535.1|	Takifugu rubripes chromosome, Chr_1	6e-25	12902412	12902623
dDocent_Contig_355	gi|351059487|emb|HE602538.1|	Takifugu rubripes chromosome, Chr_4	5e-45	5405032	5405298
dDocent_Contig_406	gi|351059489|emb|HE602540.1|	Takifugu rubripes chromosome, Chr_6	7e-50	1392461	1392653
dDocent_Contig_414	gi|351059501|emb|HE602552.1|	Takifugu rubripes chromosome, Chr_18	2e-37	3033202	3033326
dDocent_Contig_414	gi|351059492|emb|HE602543.1|	Takifugu rubripes chromosome, Chr_9	7e-24	11619476	11619600
dDocent_Contig_643	gi|351059486|emb|HE602537.1|	Takifugu rubripes chromosome, Chr_3	1e-52	13058925	13059094
dDocent_Contig_643	gi|351059502|emb|HE602553.1|	Takifugu rubripes chromosome, Chr_19	1e-15	5348047	5348183
dDocent_Contig_650	gi|351059492|emb|HE602543.1|	Takifugu rubripes chromosome, Chr_9	3e-22	8379851	8379917
dDocent_Contig_651	gi|351059502|emb|HE602553.1|	Takifugu rubripes chromosome, Chr_19	6e-101	12689370	12689681
dDocent_Contig_729	gi|351059497|emb|HE602548.1|	Takifugu rubripes chromosome, Chr_14	2e-12	432339	432392
dDocent_Contig_926	gi|351059495|emb|HE602546.1|	Takifugu rubripes chromosome, Chr_12	3e-29	2442940	2443061
dDocent_Contig_926	gi|351059490|emb|HE602541.1|	Takifugu rubripes chromosome, Chr_7	7e-18	11444541	11444695
dDocent_Contig_1052	gi|351059504|emb|HE602555.1|	Takifugu rubripes chromosome, Chr_21	3e-34	8093234	8093359
dDocent_Contig_1092	gi|351059501|emb|HE602552.1|	Takifugu rubripes chromosome, Chr_18	5e-45	4620660	4620810
dDocent_Contig_1092	gi|351059492|emb|HE602543.1|	Takifugu rubripes chromosome, Chr_9	5e-26	3789773	3789926
dDocent_Contig_1101	gi|351059506|emb|HE602536.1|	Takifugu rubripes chromosome, Chr_2	1e-58	4039703	4039924
dDocent_Contig_1291	gi|351059502|emb|HE602553.1|	Takifugu rubripes chromosome, Chr_19	5e-26	7012772	7012915
dDocent_Contig_1328	gi|351059488|emb|HE602539.1|	Takifugu rubripes chromosome, Chr_5	3e-28	5459027	5459134
dDocent_Contig_1403	gi|351059487|emb|HE602538.1|	Takifugu rubripes chromosome, Chr_4	3e-22	3686354	3686455
dDocent_Contig_1403	gi|351059506|emb|HE602536.1|	Takifugu rubripes chromosome, Chr_2	4e-14	2363242	2363335
dDocent_Contig_1403	gi|351059494|emb|HE602545.1|	Takifugu rubripes chromosome, Chr_11	6e-12	9821891	9821980
dDocent_Contig_1408	gi|351059491|emb|HE602542.1|	Takifugu rubripes chromosome, Chr_8	1e-13	1410973	1411093
dDocent_Contig_1512	gi|351059490|emb|HE602541.1|	Takifugu rubripes chromosome, Chr_7	1e-21	7074198	7074275
dDocent_Contig_1531	gi|351059495|emb|HE602546.1|	Takifugu rubripes chromosome, Chr_12	3e-16	5137594	5137725
dDocent_Contig_1533	gi|351059493|emb|HE602544.1|	Takifugu rubripes chromosome, Chr_10	2e-11	1352289	1352398
dDocent_Contig_1622	gi|351059506|emb|HE602536.1|	Takifugu rubripes chromosome, Chr_2	4e-33	7219190	7219323
dDocent_Contig_1633	gi|351059500|emb|HE602551.1|	Takifugu rubripes chromosome, Chr_17	4e-26	11075054	11075169
dDocent_Contig_1884	gi|351059506|emb|HE602536.1|	Takifugu rubripes chromosome, Chr_2	6e-37	6932978	6933128
