dDocent_Contig_62	11	dna:chromosome chromosome:TETRAODON8:11:1:11954808:1 REF	4e-14	1640140	1640216
dDocent_Contig_134	1	dna:chromosome chromosome:TETRAODON8:1:1:22981688:1 REF	1e-63	9073140	9073407
dDocent_Contig_134	15	dna:chromosome chromosome:TETRAODON8:15:1:7320470:1 REF	5e-32	2777420	2777596
dDocent_Contig_134	2	dna:chromosome chromosome:TETRAODON8:2:1:21591555:1 REF	8e-29	11408170	11408383
dDocent_Contig_173	18	dna:chromosome chromosome:TETRAODON8:18:1:11077504:1 REF	5e-25	1660585	1660691
dDocent_Contig_327	2	dna:chromosome chromosome:TETRAODON8:2:1:21591555:1 REF	3e-15	19916181	19916399
dDocent_Contig_355	17	dna:chromosome chromosome:TETRAODON8:17:1:12136232:1 REF	3e-53	10419642	10419921
dDocent_Contig_406	4	dna:chromosome chromosome:TETRAODON8:4:1:9874776:1 REF	6e-44	9811951	9812142
dDocent_Contig_414	19	dna:chromosome chromosome:TETRAODON8:19:1:7272499:1 REF	7e-30	1535581	1535705
dDocent_Contig_414	13	dna:chromosome chromosome:TETRAODON8:13:1:13302670:1 REF	6e-24	10354375	10354499
dDocent_Contig_643	9	dna:chromosome chromosome:TETRAODON8:9:1:10554956:1 REF	9e-48	10046305	10046472
dDocent_Contig_643	11	dna:chromosome chromosome:TETRAODON8:11:1:11954808:1 REF	4e-14	6562968	6563104
dDocent_Contig_650	13	dna:chromosome chromosome:TETRAODON8:13:1:13302670:1 REF	8e-23	7322027	7322091
dDocent_Contig_651	11	dna:chromosome chromosome:TETRAODON8:11:1:11954808:1 REF	3e-92	10180612	10180922
dDocent_Contig_729	1	dna:chromosome chromosome:TETRAODON8:1:1:22981688:1 REF	1e-12	9936277	9936330
dDocent_Contig_926	21	dna:chromosome chromosome:TETRAODON8:21:1:5834722:1 REF	8e-36	1958044	1958182
dDocent_Contig_926	8	dna:chromosome chromosome:TETRAODON8:8:1:10512681:1 REF	2e-18	6888694	6888837
dDocent_Contig_1052	12	dna:chromosome chromosome:TETRAODON8:12:1:12622881:1 REF	8e-35	7728343	7728471
dDocent_Contig_1092	19	dna:chromosome chromosome:TETRAODON8:19:1:7272499:1 REF	7e-49	2807400	2807557
dDocent_Contig_1092	13	dna:chromosome chromosome:TETRAODON8:13:1:13302670:1 REF	2e-31	2247902	2248055
dDocent_Contig_1101	10	dna:chromosome chromosome:TETRAODON8:10:1:13272281:1 REF	1e-57	8538130	8538347
dDocent_Contig_1291	11	dna:chromosome chromosome:TETRAODON8:11:1:11954808:1 REF	2e-29	5031041	5031268
dDocent_Contig_1328	3	dna:chromosome chromosome:TETRAODON8:3:1:15489435:1 REF	3e-16	8820433	8820541
dDocent_Contig_1403	17	dna:chromosome chromosome:TETRAODON8:17:1:12136232:1 REF	1e-25	11731249	11731350
dDocent_Contig_1403	16	dna:chromosome chromosome:TETRAODON8:16:1:9031048:1 REF	4e-13	6744446	6744535
dDocent_Contig_1403	16	dna:chromosome chromosome:TETRAODON8:16:1:9031048:1 REF	4e-13	6745102	6745169
dDocent_Contig_1408	3	dna:chromosome chromosome:TETRAODON8:3:1:15489435:1 REF	1e-13	6432130	6432245
dDocent_Contig_1512	8	dna:chromosome chromosome:TETRAODON8:8:1:10512681:1 REF	5e-25	2715082	2715224
dDocent_Contig_1531	21	dna:chromosome chromosome:TETRAODON8:21:1:5834722:1 REF	6e-18	4971116	4971249
