dDocent_Contig_62	chrXVII		2e-20	8449705	8449814
dDocent_Contig_134	chrIII		2e-39	10225051	10225312
dDocent_Contig_134	chrXVI		2e-26	7414794	7415046
dDocent_Contig_134	chrXXI		2e-20	11225405	11225645
dDocent_Contig_173	chrIX		2e-26	12789094	12789200
dDocent_Contig_355	chrVI		7e-39	16478507	16478710
dDocent_Contig_406	chrXIV		5e-48	10708325	10708645
dDocent_Contig_414	chrIV		9e-32	32261603	32261727
dDocent_Contig_414	chrXIX		1e-22	6257753	6257877
dDocent_Contig_643	chrXII		2e-52	15202695	15202839
dDocent_Contig_643	chrIV		6e-28	24522860	24523007
dDocent_Contig_650	chrXIX		6e-22	12161952	12162018
dDocent_Contig_651	chrXVII		2e-98	14438738	14439047
dDocent_Contig_729	chrIV		1e-17	16099431	16099492
dDocent_Contig_926	chrX		3e-75	7939375	7939702
dDocent_Contig_926	chrXX		3e-13	9846216	9846360
dDocent_Contig_958	chrXVIII		5e-22	10148467	10148548
dDocent_Contig_1052	chrXIII		2e-39	7173945	7174068
dDocent_Contig_1092	chrIV		2e-60	29797381	29797673
dDocent_Contig_1092	chrXIX		5e-42	18588739	18588899
dDocent_Contig_1101	chrXV		2e-85	8786829	8787164
dDocent_Contig_1138	chrUn		2e-14	30535963	30536040
dDocent_Contig_1291	chrXVII		1e-36	6282022	6282162
dDocent_Contig_1328	chrXI		6e-34	11980299	11980453
dDocent_Contig_1403	chrVII		4e-30	2320128	2320219
dDocent_Contig_1403	chrVI		1e-17	12436289	12436379
dDocent_Contig_1403	chrXV		2e-13	11976840	11976930
dDocent_Contig_1403	chrI		1e-11	16959536	16959603
dDocent_Contig_1408	chrI		8e-58	25591500	25591695
dDocent_Contig_1470	chrXIV		2e-40	9928337	9928514
dDocent_Contig_1512	chrXX		1e-42	4482285	4482436
dDocent_Contig_1531	chrX		9e-19	14095284	14095415
dDocent_Contig_1533	chrXXI		4e-29	1455129	1455343
dDocent_Contig_1622	chrXV		7e-65	5092975	5093196
dDocent_Contig_1633	chrIX		5e-28	17783235	17783372
dDocent_Contig_1745	chrXIV		1e-54	4567705	4567879
dDocent_Contig_1884	chrXV		7e-39	5436097	5436240
dDocent_Contig_1964	chrVII		5e-22	21910496	21910576
dDocent_Contig_2125	chrXVI		2e-70	10034058	10034308
dDocent_Contig_2152	chrIV		2e-109	12600259	12600562
dDocent_Contig_2154	chrIII		2e-71	3689176	3689414
dDocent_Contig_2193	chrXV		1e-55	6995275	6995514
dDocent_Contig_2202	chrXII		3e-19	6597084	6597180
dDocent_Contig_2268	chrXVII		2e-71	7865214	7865517
dDocent_Contig_2275	chrXVII		2e-85	6904329	6904643
dDocent_Contig_2275	chrXII		2e-26	14976493	14976664
dDocent_Contig_2305	chrXV		1e-60	694596	694745
dDocent_Contig_2305	chrVII		2e-39	25262749	25262894
dDocent_Contig_2305	chrIV		2e-33	11725652	11725801
dDocent_Contig_2305	chrXIII		5e-22	3959287	3959435
dDocent_Contig_2305	chrXX		4e-11	10054397	10054478
dDocent_Contig_2335	chrV		1e-100	7543666	7544002
dDocent_Contig_2388	chrI		6e-78	12816458	12816739
dDocent_Contig_2478	chrV		2e-96	7981525	7981813
dDocent_Contig_2507	chrXIX		1e-42	15388337	15388633
dDocent_Contig_2583	chrXVIII		8e-26	9675688	9675813
dDocent_Contig_2654	chrXIII		3e-38	12213813	12213976
dDocent_Contig_2785	chrVII		9e-39	18771323	18771675
dDocent_Contig_2858	chrIV		4e-37	10924634	10924974
dDocent_Contig_2978	chrIV		4e-23	21993042	21993302
dDocent_Contig_2987	chrXIII		1e-61	3087412	3087705
dDocent_Contig_3011	chrI		3e-69	13220844	13221169
dDocent_Contig_3096	chrII		4e-17	10069807	10069874
dDocent_Contig_3156	chrXV		7e-21	4408886	4409002
dDocent_Contig_3187	chrIII		1e-36	14882132	14882412
dDocent_Contig_3380	chrXX		2e-53	4032852	4033153
dDocent_Contig_3380	chrX		4e-11	2374936	2375012
dDocent_Contig_3387	chrXIII		2e-51	9263883	9264118
dDocent_Contig_3398	chrXVII		2e-33	3720292	3720411
dDocent_Contig_3398	chrVII		7e-27	1509102	1509219
dDocent_Contig_3398	chrII		2e-21	16767772	16767882
dDocent_Contig_3398	chrXII		8e-20	672140	672249
dDocent_Contig_3398	chrUn		1e-17	7391685	7391795
dDocent_Contig_3398	chrIII		6e-15	4909433	4909541
dDocent_Contig_3405	chrI		3e-32	27698555	27698787
