chr	-	10	10	0	17092887	grey
chr	-	11	11	0	33447472	grey
chr	-	12	12	0	34679706	grey
chr	-	13	13	0	32787261	grey
chr	-	14	14	0	34191023	grey
chr	-	15	15	0	26684556	grey
chr	-	16	16	0	34890008	grey
chr	-	17	17	0	31749960	grey
chr	-	18	18	0	26198306	grey
chr	-	19	19	0	27159252	grey
chr	-	1	1	0	31194787	grey
chr	-	20	20	0	31470686	grey
chr	-	22	22	0	26410405	grey
chr	-	23	23	0	20779993	grey
chr	-	2	2	0	25048291	grey
chr	-	3	3	0	19325363	grey
chr	-	4	4	0	28679955	grey
chr	-	5	5	0	37389089	grey
chr	-	6	6	0	36725243	grey
chr	-	7	7	0	51042256	grey
chr	-	8	8	0	29447820	grey
chr	-	9	9	0	20956653	grey
